Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
8.340499,7.308684,9.810834,8.401548,0.764032,0.149747,371.453138,349.828031,392.949269,371.143594,13.025598,2.55297,6.018917,1.71969,8.641445,5.743766,2.116369,0.414801,181.778764,,6,base
13.671539,11.693895,14.88822,13.506449,1.040943,0.204021,369.303525,349.957008,391.272571,370.404127,12.791326,2.507054,10.318143,6.018917,16.337059,10.49871,3.217931,0.630703,181.528049,,6,benchmark
9.716251,8.585555,11.272571,9.819433,0.864868,0.169511,370.593293,351.590714,391.272571,370.988822,12.170742,2.385422,6.018917,2.579536,12.037833,6.655202,2.707013,0.530565,180.739861,,6,onset
15.563199,14.269132,17.115219,15.606191,0.93503,0.183262,371.883061,348.194325,390.369733,370.593293,13.985257,2.74106,11.177988,6.018917,15.477214,10.653482,2.940476,0.576323,181.625707,,6,onset_benchmark
8.770421,7.820292,10.408426,8.969905,0.822911,0.161288,370.593293,345.657782,392.175408,371.074807,14.060518,2.755811,6.878762,3.439381,10.361135,7.128117,2.339016,0.458439,172.319014,,6,speed
14.144454,12.807395,15.743766,14.260533,0.952821,0.18675,367.153912,349.871023,393.078246,368.417885,13.557091,2.657141,11.177988,6.878762,15.477214,11.272571,3.042823,0.596382,172.664737,,6,speed_benchmark
10.060189,8.770421,11.706793,10.216681,0.98048,0.19217,366.72399,350.816853,392.992261,369.406707,12.873499,2.523159,7.738607,3.439381,12.080825,7.463457,2.60655,0.510874,171.913477,,6,speed_onset
16.251075,14.686156,17.712812,16.258813,0.953113,0.186807,370.593293,350.687876,393.809114,370.214961,12.950158,2.538184,12.037833,7.738607,16.380052,12.072227,2.797372,0.548275,171.962057,,6,speed_onset_benchmark
14.705882,10.588235,18.264706,14.652941,2.749036,0.538801,329.411765,276.176471,376.470588,327.470588,29.772652,5.835333,5.882353,0.0,17.647059,8.529412,6.65591,1.304534,191.571617,,7,base
18.823529,15.264706,23.558824,19.023529,2.91338,0.571012,335.294118,276.176471,376.764706,331.352941,34.57431,6.77644,11.764706,0.0,23.529412,11.647059,8.728144,1.710685,191.18927,,7,benchmark
18.823529,14.676471,24.117647,18.9,2.798881,0.548571,335.294118,276.176471,370.588235,330.352941,30.897925,6.055882,11.764706,0.0,29.411765,11.529412,8.884519,1.741334,193.113498,,7,onset
25.294118,19.382353,30.588235,25.364706,3.365453,0.659617,323.529412,258.823529,388.235294,327.0,38.822404,7.609051,11.764706,5.882353,35.294118,16.352941,9.554035,1.872556,193.191313,,7,onset_benchmark
15.294118,11.764706,20.588235,15.717647,2.708026,0.530763,335.294118,293.823529,406.176471,337.705882,33.412876,6.548803,5.882353,0.0,23.529412,9.764706,7.852935,1.539147,168.976252,,7,speed
21.176471,16.441176,25.294118,20.888235,2.84697,0.557996,335.294118,287.941176,388.235294,334.0,32.752409,6.419354,11.764706,5.588235,29.705882,15.235294,9.27617,1.818096,174.187691,,7,speed_benchmark
